Territorio,Tipo de territorio,Nacionalidad (España/UE/Resto extranjero),01 ene 1997,01 ene 1998,01 ene 1999,01 ene 2000,01 ene 2001,01 ene 2002,01 ene 2003,01 ene 2004,01 ene 2005,01 ene 2006,01 ene 2007,01 ene 2008,01 ene 2009,01 ene 2010,01 ene 2011,01 ene 2012,01 ene 2013,01 ene 2014,01 ene 2015,01 ene 2016,01 ene 2017,01 ene 2018,01 ene 2019,01 ene 2020,01 ene 2021,01 ene 2022,01 ene 2023,01 ene 2024,01 ene 2025
les Tres Torres,Barri,Resto de la Unión Europea,231,260,267,284,325,440,504,526,570,607,692,746,739,681,593,586,592,606,623,600,654,655,723,726,677,692,755,801,854
les Tres Torres,Barri,Resto del mundo,149,163,183,193,296,458,634,734,860,926,730,719,866,826,866,899,934,997,1068,831,922,938,986,1032,1120,1088,1272,1403,1468
les Tres Torres,Barri,No consta,-,-,-,-,-,7,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
Sant Gervasi - la Bonanova,Barri,España,21184,21564,21657,21802,21779,22085,21896,21760,21704,21521,21554,21573,21561,22043,22197,22419,22465,22588,22794,23026,22907,22931,22802,22637,22284,22077,21933,22010,22013
Sant Gervasi - la Bonanova,Barri,Resto de la Unión Europea,318,346,364,386,400,485,548,613,687,725,874,1019,1118,1106,1045,1045,1105,1108,1027,1048,1135,1108,1294,1339,1283,1345,1465,1552,1606
Sant Gervasi - la Bonanova,Barri,Resto del mundo,234,231,253,308,447,685,1025,1164,1337,1441,1174,1802,2603,2555,2397,1961,1559,1576,1541,1682,1862,1850,2012,2269,2417,2270,2734,3186,3210
Sant Gervasi - la Bonanova,Barri,No consta,-,-,-,-,-,6,6,-,-,7,5,5,-,-,-,-,-,-,6,5,5,-,-,-,-,-,-,-,7
Sant Gervasi - Galvany,Barri,España,42318,42503,42607,42617,42508,43009,42365,41514,41241,41252,41363,41268,41158,41037,41157,41330,41461,41313,41597,41862,41884,41785,41528,41219,40478,40045,39587,39361,39564
Sant Gervasi - Galvany,Barri,Resto de la Unión Europea,600,650,668,686,757,993,1196,1396,1629,1797,2121,2293,2355,2236,1946,1982,2072,2202,2220,2325,2545,2585,2793,2872,2690,2990,3216,3360,3661
Sant Gervasi - Galvany,Barri,Resto del mundo,675,765,810,898,1151,1762,2421,2894,3261,3425,2777,2918,3304,3011,3022,3045,3001,2935,2893,2963,3380,3438,3665,3880,4173,4143,4861,5663,6225
Sant Gervasi - Galvany,Barri,No consta,-,-,-,-,-,26,31,15,13,18,23,22,13,7,-,8,14,11,-,6,7,11,7,5,5,-,10,14,11
el Putxet i el Farró,Barri,España,25715,26176,26123,26073,25839,26257,25928,25607,25374,25194,25068,24923,24826,24918,25007,25140,25117,25140,25441,25649,25681,25602,25428,25472,25131,24896,24640,24484,24624
el Putxet i el Farró,Barri,Resto de la Unión Europea,324,356,373,379,428,588,730,860,998,1186,1432,1586,1682,1632,1494,1534,1615,1639,1634,1686,1732,1804,2002,2169,1950,2038,2081,2268,2370
el Putxet i el Farró,Barri,Resto del mundo,352,385,459,543,773,1125,1656,1986,2264,2490,2149,2229,2354,2179,2128,2192,2114,2044,1942,1979,2097,2180,2352,2695,2901,2848,3302,3576,3761
el Putxet i el Farró,Barri,No consta,-,-,5,5,-,13,12,-,6,9,13,19,9,-,-,-,-,-,7,-,5,-,-,-,-,-,7,7,-
Gràcia,Districte,España,112432,112904,112274,110836,109368,110023,108369,106835,105311,104763,103857,103509,103127,102697,102391,102543,102051,101739,102348,102495,101837,101124,100338,99416,97931,96320,95411,95408,95683
Gràcia,Districte,Resto de la Unión Europea,787,894,999,1081,1256,1883,2403,3110,3901,4624,5922,7095,7748,7834,7108,7548,7899,8127,8270,8487,8916,9089,10271,10922,10277,10846,10953,11784,12310
Gràcia,Districte,Resto del mundo,1184,1446,1722,2154,3503,5918,8329,9845,11086,11950,10182,11295,12915,12440,11972,11726,11031,10392,9802,10073,10985,11544,12428,13488,15045,14725,16535,18567,19578
Gràcia,Districte,No consta,8,10,10,19,24,86,89,49,58,61,60,47,14,7,12,14,16,25,25,33,34,32,23,26,23,24,29,28,32
Vallcarca i els Penitents,Barri,España,14015,14067,13897,13749,13755,13976,13724,13652,13485,13516,13410,13372,13416,13404,13432,13509,13511,13477,13602,13653,13701,13728,13671,13668,13537,13358,13372,13366,13361
Vallcarca i els Penitents,Barri,Resto de la Unión Europea,149,155,160,170,188,258,311,399,470,555,670,754,813,776,716,747,760,766,809,820,860,893,983,1082,1028,1056,1059,1133,1226
Vallcarca i els Penitents,Barri,Resto del mundo,124,144,184,236,441,826,1129,1324,1532,1590,1335,1337,1465,1301,1297,1261,1223,1197,1107,1154,1260,1363,1454,1595,1760,1667,1898,2178,2331
Vallcarca i els Penitents,Barri,No consta,-,-,-,-,-,8,9,6,6,8,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
el Coll,Barri,España,6557,6560,6570,6511,6459,6487,6438,6443,6353,6298,6275,6342,6256,6221,6221,6197,6149,6167,6321,6373,6363,6353,6303,6235,6214,6162,6179,6184,6207
el Coll,Barri,Resto de la Unión Europea,49,49,52,57,61,76,115,136,169,193,251,287,330,378,362,351,352,362,404,397,402,386,450,465,443,458,431,492,554
el Coll,Barri,Resto del mundo,52,64,69,98,157,288,463,562,615,710,574,670,706,628,705,742,726,672,626,621,663,721,765,917,1031,991,1130,1267,1330
el Coll,Barri,No consta,-,-,-,-,-,-,-,-,-,-,-,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Salut,Barri,España,12643,12720,12824,12706,12519,12443,12251,12035,11888,11821,11673,11679,11661,11724,11557,11554,11585,11596,11613,11546,11518,11441,11393,11309,11189,11162,11072,11010,11100
la Salut,Barri,Resto de la Unión Europea,97,110,113,115,140,182,216,288,347,394,529,601,633,637,598,622,682,688,729,676,697,742,852,891,837,843,915,974,1051
la Salut,Barri,Resto del mundo,118,126,155,202,319,501,710,856,959,936,791,894,951,965,991,1009,930,873,878,899,988,1074,1184,1275,1426,1329,1501,1693,1864
la Salut,Barri,No consta,-,-,-,-,-,8,8,-,5,8,8,8,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
la Vila de Gràcia,Barri,España,45991,46040,45641,44958,44165,44579,43890,43076,42515,42153,41931,41741,41579,41251,41186,41282,40937,40864,40998,40982,40481,39922,39452,38891,38104,37324,36891,36907,37036
la Vila de Gràcia,Barri,Resto de la Unión Europea,334,410,460,503,607,987,1248,1630,2123,2518,3195,3906,4300,4434,3934,4176,4409,4626,4683,4801,5063,5079,5673,5996,5576,5870,5808,6174,6391
la Vila de Gràcia,Barri,Resto del mundo,620,776,882,1058,1621,2738,3801,4515,5101,5517,4793,5622,6747,6623,6060,5637,5278,4935,4746,4871,5324,5404,5662,6022,6760,6646,7335,7977,8385
la Vila de Gràcia,Barri,No consta,6,8,8,12,17,48,51,35,44,39,39,26,7,6,10,9,12,15,14,16,17,16,16,17,16,12,14,17,21
el Camp d'en Grassot i Gràcia Nova,Barri,España,33226,33517,33342,32912,32470,32538,32066,31629,31070,30975,30568,30375,30215,30097,29995,30001,29869,29635,29814,29941,29774,29680,29519,29313,28887,28314,27897,27941,27979
el Camp d'en Grassot i Gràcia Nova,Barri,Resto de la Unión Europea,158,170,214,236,260,380,513,657,792,964,1277,1547,1672,1609,1498,1652,1696,1685,1645,1793,1894,1989,2313,2488,2393,2619,2740,3011,3088
el Camp d'en Grassot i Gràcia Nova,Barri,Resto del mundo,270,336,432,560,965,1565,2226,2588,2879,3197,2689,2772,3046,2923,2919,3077,2874,2715,2445,2528,2750,2982,3363,3679,4068,4092,4671,5452,5668
el Camp d'en Grassot i Gràcia Nova,Barri,No consta,-,-,-,-,-,19,18,-,-,-,-,-,-,-,-,-,-,6,9,13,13,12,-,-,-,8,11,8,8
