Territorio,Tipo de territorio,Nacionalidad (España/UE/Resto extranjero),01 ene 1997,01 ene 1998,01 ene 1999,01 ene 2000,01 ene 2001,01 ene 2002,01 ene 2003,01 ene 2004,01 ene 2005,01 ene 2006,01 ene 2007,01 ene 2008,01 ene 2009,01 ene 2010,01 ene 2011,01 ene 2012,01 ene 2013,01 ene 2014,01 ene 2015,01 ene 2016,01 ene 2017,01 ene 2018,01 ene 2019,01 ene 2020,01 ene 2021,01 ene 2022,01 ene 2023,01 ene 2024,01 ene 2025
la Vila Olímpica del Poblenou,Barri,Resto del mundo,118,142,167,179,246,361,491,589,706,734,585,611,667,665,649,633,596,597,571,565,659,635,696,738,886,881,995,1063,1070
la Vila Olímpica del Poblenou,Barri,No consta,7,7,7,13,14,19,24,23,29,25,21,26,7,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
el Poblenou,Barri,España,23572,23835,23799,23646,23686,24301,24990,25076,25450,25519,25732,25942,26063,26308,26943,27061,27223,27425,27881,27996,27937,27827,27393,27175,26855,26420,26090,25779,25577
el Poblenou,Barri,Resto de la Unión Europea,52,67,78,96,117,203,319,476,637,863,1192,1499,1693,1827,1815,2028,2244,2349,2553,2664,2858,2968,3347,3658,3487,3685,3725,4005,4267
el Poblenou,Barri,Resto del mundo,209,232,354,451,844,1469,2122,2538,2936,3195,2924,3110,3368,3249,3307,3421,3411,3242,3000,2959,3134,3187,3425,3598,4066,3994,4330,4775,4968
el Poblenou,Barri,No consta,-,-,-,-,5,15,13,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,5,-,-,6,-,6
Diagonal Mar i el Front Marítim del Poblenou,Barri,España,4113,4120,4069,4208,4879,5958,6793,7476,7937,8114,8399,8539,8998,9469,10137,10495,10706,10944,11131,11163,11150,11017,10919,10745,10601,10477,10316,10240,10225
Diagonal Mar i el Front Marítim del Poblenou,Barri,Resto de la Unión Europea,6,10,10,11,22,52,106,194,302,396,516,638,744,845,853,906,1020,1085,1088,1054,1125,1100,1190,1214,1186,1269,1242,1254,1330
Diagonal Mar i el Front Marítim del Poblenou,Barri,Resto del mundo,30,33,38,48,62,175,344,459,624,768,722,785,949,950,1012,1113,1202,1137,1153,1197,1393,1526,1516,1565,1747,1643,1893,1998,2133
Diagonal Mar i el Front Marítim del Poblenou,Barri,No consta,-,-,-,-,-,-,-,-,-,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
el Besòs i el Maresme,Barri,España,21402,21451,21256,20954,20535,20264,19726,19183,18681,18212,17640,17427,17350,17290,17313,17269,17117,17048,17336,17214,17068,17073,17002,16742,16820,16979,17111,17484,17670
el Besòs i el Maresme,Barri,Resto de la Unión Europea,27,29,29,29,34,41,58,88,124,163,403,597,637,597,606,596,640,627,592,583,687,797,965,1042,977,1024,1032,1193,1221
el Besòs i el Maresme,Barri,Resto del mundo,111,138,162,224,465,953,1834,2531,3252,4016,3981,5293,6029,5908,6055,5851,5385,5165,4916,4985,5308,5848,6878,7917,8315,8342,9742,11801,11827
el Besòs i el Maresme,Barri,No consta,-,-,-,-,-,6,5,-,10,12,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,7,7,6
Provençals del Poblenou,Barri,España,16700,16976,16841,16792,16678,16610,16468,16316,16266,16263,16530,16615,16794,16974,16955,17218,17345,17480,17654,17692,17623,17570,17676,17615,17406,17380,17163,17090,17124
Provençals del Poblenou,Barri,Resto de la Unión Europea,36,40,36,38,43,67,97,126,180,253,437,551,625,696,682,710,748,748,752,822,907,1004,1166,1238,1185,1225,1278,1360,1450
Provençals del Poblenou,Barri,Resto del mundo,132,191,240,276,409,779,1112,1253,1532,1670,1642,1689,1885,1924,1914,1948,1975,1870,1756,1867,1989,2054,2273,2463,2588,2480,2829,3060,3326
Provençals del Poblenou,Barri,No consta,-,-,-,-,-,10,8,5,5,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,6,7,-,-,-
Sant Martí de Provençals,Barri,España,27204,27434,27336,26881,26487,26132,25695,25218,24710,24183,23815,23522,23413,23355,23248,23213,23088,23074,23267,23182,22943,22794,22567,22343,22206,21898,21702,21602,21565
Sant Martí de Provençals,Barri,Resto de la Unión Europea,40,46,49,60,71,107,134,171,221,281,432,546,573,569,549,541,571,590,598,609,669,690,792,794,801,824,897,993,1099
Sant Martí de Provençals,Barri,Resto del mundo,114,162,190,241,414,725,1094,1374,1649,1968,1870,2104,2301,2230,2357,2371,2341,2252,2106,2239,2575,2608,2807,3028,3219,3126,3565,3974,4307
Sant Martí de Provençals,Barri,No consta,-,-,-,-,-,6,7,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,5,6,5
la Verneda i la Pau,Barri,España,31971,31915,31482,30855,30180,29742,29235,28379,27800,27339,26956,26620,26394,26305,26042,26009,25920,25731,25768,25644,25415,25159,24903,24619,24384,24391,24199,24257,24318
la Verneda i la Pau,Barri,Resto de la Unión Europea,37,35,45,52,58,65,78,122,160,178,325,453,481,508,464,510,528,489,500,525,569,616,673,713,703,736,745,908,996
la Verneda i la Pau,Barri,Resto del mundo,114,147,172,233,437,792,1301,1736,1992,2271,2235,2495,2691,2647,2537,2711,2734,2587,2458,2503,2739,3037,3306,3544,3708,3626,4304,5178,5857
la Verneda i la Pau,Barri,No consta,-,-,-,-,-,12,11,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
