Territorio,Tipo de territorio,Categoría_Delito,Mes_Año,Tipo_de_Hecho,Cantidad,Mes,Año,Mes_Num
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2018,Hechos contra las personas,33.0,feb,2018,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2018,Hechos contra las personas,46.0,mar,2018,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2018,Hechos contra las personas,64.0,abr,2018,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2018,Hechos contra las personas,43.0,may,2018,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2018,Hechos contra las personas,67.0,jun,2018,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2018,Hechos contra las personas,75.0,jul,2018,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2018,Hechos contra las personas,63.0,ago,2018,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2018,Hechos contra las personas,58.0,sep,2018,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2018,Hechos contra las personas,74.0,oct,2018,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2018,Hechos contra las personas,45.0,nov,2018,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2018,Hechos contra las personas,47.0,dic,2018,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2019,Hechos contra las personas,43.0,ene,2019,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2019,Hechos contra las personas,55.0,feb,2019,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2019,Hechos contra las personas,70.0,mar,2019,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2019,Hechos contra las personas,63.0,abr,2019,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2019,Hechos contra las personas,60.0,may,2019,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2019,Hechos contra las personas,42.0,jun,2019,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2019,Hechos contra las personas,64.0,jul,2019,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2019,Hechos contra las personas,76.0,ago,2019,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2019,Hechos contra las personas,71.0,sep,2019,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2019,Hechos contra las personas,46.0,oct,2019,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2019,Hechos contra las personas,48.0,nov,2019,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2019,Hechos contra las personas,81.0,dic,2019,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2020,Hechos contra las personas,61.0,ene,2020,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2020,Hechos contra las personas,72.0,feb,2020,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2020,Hechos contra las personas,60.0,mar,2020,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2020,Hechos contra las personas,24.0,abr,2020,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2020,Hechos contra las personas,36.0,may,2020,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2020,Hechos contra las personas,46.0,jun,2020,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2020,Hechos contra las personas,68.0,jul,2020,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2020,Hechos contra las personas,49.0,ago,2020,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2020,Hechos contra las personas,58.0,sep,2020,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2020,Hechos contra las personas,43.0,oct,2020,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2020,Hechos contra las personas,42.0,nov,2020,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2020,Hechos contra las personas,36.0,dic,2020,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2021,Hechos contra las personas,52.0,ene,2021,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2021,Hechos contra las personas,60.0,feb,2021,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2021,Hechos contra las personas,67.0,mar,2021,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2021,Hechos contra las personas,70.0,abr,2021,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2021,Hechos contra las personas,60.0,may,2021,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2021,Hechos contra las personas,91.0,jun,2021,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2021,Hechos contra las personas,62.0,jul,2021,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2021,Hechos contra las personas,67.0,ago,2021,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2021,Hechos contra las personas,66.0,sep,2021,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2021,Hechos contra las personas,74.0,oct,2021,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2021,Hechos contra las personas,69.0,nov,2021,11
Barcelona,Municipi,Agresiones y abusos sexuales,dic 2021,Hechos contra las personas,66.0,dic,2021,12
Barcelona,Municipi,Agresiones y abusos sexuales,ene 2022,Hechos contra las personas,46.0,ene,2022,1
Barcelona,Municipi,Agresiones y abusos sexuales,feb 2022,Hechos contra las personas,66.0,feb,2022,2
Barcelona,Municipi,Agresiones y abusos sexuales,mar 2022,Hechos contra las personas,65.0,mar,2022,3
Barcelona,Municipi,Agresiones y abusos sexuales,abr 2022,Hechos contra las personas,69.0,abr,2022,4
Barcelona,Municipi,Agresiones y abusos sexuales,may 2022,Hechos contra las personas,95.0,may,2022,5
Barcelona,Municipi,Agresiones y abusos sexuales,jun 2022,Hechos contra las personas,82.0,jun,2022,6
Barcelona,Municipi,Agresiones y abusos sexuales,jul 2022,Hechos contra las personas,93.0,jul,2022,7
Barcelona,Municipi,Agresiones y abusos sexuales,ago 2022,Hechos contra las personas,82.0,ago,2022,8
Barcelona,Municipi,Agresiones y abusos sexuales,sep 2022,Hechos contra las personas,95.0,sep,2022,9
Barcelona,Municipi,Agresiones y abusos sexuales,oct 2022,Hechos contra las personas,86.0,oct,2022,10
Barcelona,Municipi,Agresiones y abusos sexuales,nov 2022,Hechos contra las personas,74.0,nov,2022,11
